ts,symbol,last_price
1767631383136,ETHUSDT,3183.29
1767631383207,BNBUSDT,905.5
1767631383292,LTCUSDT,83.07
1767631383402,ADAUSDT,0.4137
1767631383412,XRPUSDT,2.1835
1767631383670,DOGEUSDT,0.15028
1767631383923,SOLUSDT,135.39
1767631384066,DOTUSDT,2.183
1767631384118,BTCUSDT,93836.1
1767631384129,ETHUSDT,3183.72
1767631384200,BNBUSDT,905.64
1767631384291,LTCUSDT,83.06
1767631384399,ADAUSDT,0.4137
1767631384408,XRPUSDT,2.1835
1767631384665,DOGEUSDT,0.15026
1767631384890,SOLUSDT,135.41
1767631385065,DOTUSDT,2.183
1767631385118,BTCUSDT,93836.1
1767631385128,ETHUSDT,3183.72
1767631385200,BNBUSDT,905.63
1767631385291,LTCUSDT,83.06
1767631385399,ADAUSDT,0.4137
1767631385412,XRPUSDT,2.1835
1767631385666,DOGEUSDT,0.15025
1767631385891,SOLUSDT,135.41
1767631386118,BTCUSDT,93836.1
1767631386119,ETHUSDT,3183.72
1767631386201,BNBUSDT,905.63
1767631386312,LTCUSDT,83.06
1767631386402,ADAUSDT,0.4137
1767631386414,XRPUSDT,2.183
1767631386666,DOGEUSDT,0.15024
1767631386887,SOLUSDT,135.42
1767631387066,DOTUSDT,2.183
1767631387117,BTCUSDT,93836.1
1767631387117,ETHUSDT,3183.56
1767631387200,BNBUSDT,905.63
1767631387291,LTCUSDT,83.07
1767631387398,ADAUSDT,0.4137
1767631387413,XRPUSDT,2.183
1767631387666,DOGEUSDT,0.15024
1767631387888,SOLUSDT,135.42
1767631388118,BTCUSDT,93836.1
1767631388118,ETHUSDT,3183.56
1767631388201,BNBUSDT,905.63
1767631388292,LTCUSDT,83.07
1767631388399,ADAUSDT,0.4136
1767631388410,XRPUSDT,2.1831
1767631388667,DOGEUSDT,0.15024
1767631388890,SOLUSDT,135.44
1767631389106,BTCUSDT,93844.8
1767631389115,ETHUSDT,3183.75
1767631389200,BNBUSDT,905.63
1767631389292,LTCUSDT,83.07
1767631389399,ADAUSDT,0.4136
1767631389412,XRPUSDT,2.183
1767631389678,DOGEUSDT,0.15023
1767631389906,SOLUSDT,135.44
1767631390106,BTCUSDT,93844.8
1767631390118,ETHUSDT,3183.76
1767631390200,BNBUSDT,905.63
1767631390290,LTCUSDT,83.06
1767631390401,ADAUSDT,0.4136
1767631390412,XRPUSDT,2.1836
1767631390667,DOGEUSDT,0.15027
1767631390891,SOLUSDT,135.44
1767631391107,BTCUSDT,93844.8
1767631391107,ETHUSDT,3183.76
1767631391199,BNBUSDT,905.63
1767631391292,LTCUSDT,83.06
1767631391401,ADAUSDT,0.4137
1767631391412,XRPUSDT,2.1833
1767631391666,DOGEUSDT,0.15024
1767631391891,SOLUSDT,135.42
1767631392069,DOTUSDT,2.183
1767631392119,BTCUSDT,93844.8
1767631392120,ETHUSDT,3183.76
1767631392201,BNBUSDT,905.64
1767631392291,LTCUSDT,83.06
1767631392426,ADAUSDT,0.4136
1767631392441,XRPUSDT,2.1834
1767631392667,DOGEUSDT,0.15025
1767631392887,SOLUSDT,135.42
1767631393071,DOTUSDT,2.183
1767631393120,BTCUSDT,93844.8
1767631393120,ETHUSDT,3184.64
1767631393203,BNBUSDT,905.76
1767631393292,LTCUSDT,83.07
1767631393405,ADAUSDT,0.4139
1767631393413,XRPUSDT,2.1843
1767631393666,DOGEUSDT,0.1503
1767631393891,SOLUSDT,135.46
1767631394065,DOTUSDT,2.183
1767631394119,BTCUSDT,93847.6
1767631394119,ETHUSDT,3184.85
1767631394201,BNBUSDT,905.77
1767631394291,LTCUSDT,83.06
1767631394401,ADAUSDT,0.4138
1767631394414,XRPUSDT,2.1839
1767631394672,DOGEUSDT,0.15028
1767631394891,SOLUSDT,135.43
1767631395066,DOTUSDT,2.183
1767631395119,BTCUSDT,93847.6
1767631395131,ETHUSDT,3184.22
1767631395198,BNBUSDT,905.77
1767631395292,LTCUSDT,83.04
1767631395399,ADAUSDT,0.4138
1767631395410,XRPUSDT,2.1838
1767631395682,DOGEUSDT,0.15027
1767631395891,SOLUSDT,135.42
1767631396065,DOTUSDT,2.183
1767631396118,BTCUSDT,93840.7
1767631396128,ETHUSDT,3183.83
1767631396200,BNBUSDT,905.77
1767631396290,LTCUSDT,83.04
1767631396399,ADAUSDT,0.4137
1767631396412,XRPUSDT,2.1838
1767631396666,DOGEUSDT,0.15027
1767631396891,SOLUSDT,135.42
1767631397066,DOTUSDT,2.183
1767631397119,BTCUSDT,93833.7
1767631397130,ETHUSDT,3183.83
1767631397201,BNBUSDT,905.77
1767631397292,LTCUSDT,83.05
1767631397400,ADAUSDT,0.4137
1767631397409,XRPUSDT,2.1838
